Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in),TMAX (F),TMEAN (F),TMIN (F) 
'050848',1895,1,0.3,37.2,23.9,10.6 
'050848',1895,2,0.66,36.5,22.2,7.8 
'050848',1895,3,1.98,45.8,32.9,19.9 
'050848',1895,4,1.89,66.1,49.2,32.3 
'050848',1895,5,4.28,69.9,54.7,39.4 
'050848',1895,6,3.77,74.9,59.2,43.5 
'050848',1895,7,3.04,77.6,66,54.4 
'050848',1895,8,1.1,81.3,68.2,55 
'050848',1895,9,0.84,77.2,61.3,45.4 
'050848',1895,10,1.37,62.5,47.6,32.6 
'050848',1895,11,0.78,48.6,35.1,21.6 
'050848',1895,12,0.94,42.7,29.5,16.3 
'050848',1896,1,0.94,49.2,34.4,19.6 
'050848',1896,2,0.65,47.4,33.6,19.8 
'050848',1896,3,3.59,46.1,34.6,23.1 
'050848',1896,4,1.94,62,46.7,31.3 
'050848',1896,5,3.47,70.7,56.8,42.8 
'050848',1896,6,1.14,80.1,65.8,51.5 
'050848',1896,7,3.24,81.3,69.3,57.3 
'050848',1896,8,2.13,82.2,69.3,56.3 
'050848',1896,9,1.93,71.3,58.6,45.9 
'050848',1896,10,1.22,64.3,49,33.7 
'050848',1896,11,1.66,46.6,32.3,18 
'050848',1896,12,0.34,53.8,38.1,22.4 
'050848',1897,1,0.79,41.3,27.4,13.4 
'050848',1897,2,1.65,42.3,30.5,18.6 
'050848',1897,3,2.37,46.1,33.9,21.7 
'050848',1897,4,1.6,58.1,45.5,32.8 
'050848',1897,5,2.3,69.1,58.3,47.5 
'050848',1897,6,3.71,73.7,62.8,51.8 
'050848',1897,7,2.93,80.7,68.7,56.7 
'050848',1897,8,2.96,77.8,67,56.2 
'050848',1897,9,0.86,74.8,64.5,54.2 
'050848',1897,10,1.66,60.7,49.9,39 
'050848',1897,11,0.47,49.4,38.8,28.1 
'050848',1897,12,0.7,38.2,27.5,16.8 
'050848',1898,1,0.43,38.4,27.8,17.1 
'050848',1898,2,0.55,47.3,36.3,25.2 
'050848',1898,3,0.67,44.5,33.2,21.8 
'050848',1898,4,1.54,59.1,47,34.8 
'050848',1898,5,3.76,60.4,50,39.5 
'050848',1898,6,1.51,76.8,64.8,52.7 
'050848',1898,7,0.97,81.6,70.3,58.9 
'050848',1898,8,1.52,83.7,71,58.2 
'050848',1898,9,1.12,72.9,59.8,46.7 
'050848',1898,10,0.9,59.5,46.7,33.8 
'050848',1898,11,1.76,45.6,33.6,21.5 
'050848',1898,12,1.3,37.8,26.4,15 
'050848',1899,1,0.87,39.9,28.6,17.3 
'050848',1899,2,0.98,27.4,15.4,3.4 
'050848',1899,3,2.79,45.4,31.9,18.3 
'050848',1899,4,1.23,61.7,46.8,31.9 
'050848',1899,5,0.55,70.2,55.1,40 
'050848',1899,6,0.58,78.6,64,49.4 
'050848',1899,7,2.18,80.7,67.2,53.7 
'050848',1899,8,1.81,82.5,68.3,54.1 
'050848',1899,9,0.15,77.5,63.5,49.5 
'050848',1899,10,1.94,60.5,48.1,35.7 
'050848',1899,11,0,56.9,44.6,32.3 
'050848',1899,12,0.96,45.7,33,20.2 
'050848',1900,1,0.4,47.5,34.1,20.6 
'050848',1900,2,1.06,42.8,29,15.1 
'050848',1900,3,0.75,55,40.6,26.2 
'050848',1900,4,9.18,55.6,43.6,31.6 
'050848',1900,5,1.84,71.1,57.9,44.6 
'050848',1900,6,0.49,81.6,67.7,53.7 
'050848',1900,7,0.48,82.2,68.9,55.5 
'050848',1900,8,0.22,84.2,70.2,56.2 
'050848',1900,9,1.54,72.3,59.3,46.2 
'050848',1900,10,0.13,68.5,54.8,41.1 
'050848',1900,11,0.19,56.3,41.4,26.5 
'050848',1900,12,0.61,49.1,36,22.9 
'050848',1901,1,0.53,47.6,33.5,19.3 
'050848',1901,2,0.3,39.8,26.8,13.8 
'050848',1901,3,1.74,50.6,37.4,24.2 
'050848',1901,4,3.51,57.6,44.9,32.1 
'050848',1901,5,1.62,70.4,57.6,44.7 
'050848',1901,6,1.76,77.9,64.1,50.2 
'050848',1901,7,0.46,87.5,73.4,59.3 
'050848',1901,8,1.69,82.8,69.3,55.7 
'050848',1901,9,0.16,74.6,59.5,44.3 
'050848',1901,10,0.65,67.2,51.6,35.9 
'050848',1901,11,0,59.1,44.7,30.3 
'050848',1901,12,1.43,45.4,32.1,18.7 
'050848',1902,1,0.37,41.7,29.4,17 
'050848',1902,2,0.48,48.9,35.5,22 
'050848',1902,3,1.48,48.7,36.6,24.4 
'050848',1902,4,1.01,60.4,46.5,32.6 
'050848',1902,5,2.32,70.4,57.2,43.9 
'050848',1902,6,1.46,79.6,65,50.3 
'050848',1902,7,1.26,81.6,67.7,53.8 
'050848',1902,8,0.53,83.7,69.8,55.9 
'050848',1902,9,5.46,74,58.6,43.1 
'050848',1902,10,1.44,65,52.7,40.4 
'050848',1902,11,1.29,52.1,38.9,25.7 
'050848',1902,12,1.34,46,33.5,21 
'050848',1903,1,0.08,46.4,33.7,21 
'050848',1903,2,1.52,32.1,20.3,8.4 
'050848',1903,3,1.45,46.7,34.5,22.3 
'050848',1903,4,2.31,59,45.9,32.8 
'050848',1903,5,2.02,66,52.8,39.5 
'050848',1903,6,1.87,71.1,58.9,46.6 
'050848',1903,7,0.95,82.4,69.2,56 
'050848',1903,8,1.46,82.1,68.5,54.9 
'050848',1903,9,1.31,72.7,58.7,44.6 
'050848',1903,10,3.43,65.7,52.1,38.5 
'050848',1903,11,0.15,54.4,39.7,25 
'050848',1903,12,0.16,50.3,36.9,23.4 
'050848',1904,1,0.09,42.2,29.3,16.3 
'050848',1904,2,0.31,53.6,39,24.4 
'050848',1904,3,2.37,55.8,40.9,25.9 
'050848',1904,4,1.45,60.7,47.1,33.5 
'050848',1904,5,5.35,66.4,53.5,40.5 
'050848',1904,6,2.72,71.7,59.3,46.9 
'050848',1904,7,1.05,79.4,66,52.6 
