Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in),TMAX (F),TMEAN (F),TMIN (F) 
'417945',1895,1,1.24,62.9,52.2,41.5 
'417945',1895,2,3.97,54,43.1,32.2 
'417945',1895,3,2.24,72.1,60.5,48.9 
'417945',1895,4,0.29,81.2,67.9,54.6 
'417945',1895,5,6.66,81.1,70.8,60.5 
'417945',1895,6,2.09,88.2,78.1,68 
'417945',1895,7,1.07,94.5,82.7,70.8 
'417945',1895,8,1.9,94.6,82.5,70.3 
'417945',1895,9,1.25,89.8,78.8,67.7 
'417945',1895,10,1.43,78.9,66.7,54.5 
'417945',1895,11,3.38,66.4,55.9,45.4 
'417945',1895,12,0.55,63.9,52.3,40.7 
'417945',1896,1,2.9,62.5,52,41.5 
'417945',1896,2,2.36,66.5,54.7,42.8 
'417945',1896,3,0.66,71,58.9,46.7 
'417945',1896,4,2.73,77.9,68.3,58.6 
'417945',1896,5,2.74,87.1,76.8,66.5 
'417945',1896,6,0.61,95.1,81.9,68.7 
'417945',1896,7,2.69,92.9,81.7,70.5 
'417945',1896,8,2.96,95.2,82.7,70.2 
'417945',1896,9,8.87,87.9,76.7,65.4 
'417945',1896,10,6.04,76,66.2,56.3 
'417945',1896,11,0.79,69.1,59.9,50.7 
'417945',1896,12,0.74,66.9,54.5,42 
'417945',1897,1,1.55,56.7,47.2,37.7 
'417945',1897,2,0.15,69.7,57.9,46 
'417945',1897,3,1.65,77.3,65.5,53.7 
'417945',1897,4,1.84,79.3,67.2,55 
'417945',1897,5,3.13,84.2,72.8,61.3 
'417945',1897,6,2.19,90.4,79.3,68.2 
'417945',1897,7,0.28,95.4,83,70.5 
'417945',1897,8,0.4,91.4,80.4,69.3 
'417945',1897,9,1.61,87,75.5,63.9 
'417945',1897,10,1.35,81.5,70.6,59.6 
'417945',1897,11,0.43,71.4,60.8,50.2 
'417945',1897,12,1.34,59.6,49.1,38.5 
'417945',1898,1,0.46,64.5,54,43.4 
'417945',1898,2,1.16,68.3,56.9,45.4 
'417945',1898,3,1.47,70.3,60.3,50.3 
'417945',1898,4,1.46,78.6,67,55.3 
'417945',1898,5,1.06,84.1,74.3,64.5 
'417945',1898,6,7.06,88.6,78.4,68.2 
'417945',1898,7,2.24,92.2,81,69.8 
'417945',1898,8,3.35,93.3,81.9,70.5 
'417945',1898,9,1.32,88.5,77.5,66.5 
'417945',1898,10,0.03,82.3,69,55.6 
'417945',1898,11,1.34,65.7,54.9,44 
'417945',1898,12,1.54,55.8,45.4,34.9 
'417945',1899,1,0.38,60.4,48.9,37.3 
'417945',1899,2,0.31,56.3,43.8,31.2 
'417945',1899,3,0,76.8,63.5,50.2 
'417945',1899,4,2.6,78.4,66.8,55.1 
'417945',1899,5,2.22,84.8,76.3,67.8 
'417945',1899,6,4.32,87.3,77.6,67.8 
'417945',1899,7,2.85,91.5,80.7,69.9 
'417945',1899,8,0,96.8,83.8,70.7 
'417945',1899,9,0.57,88.7,76,63.3 
'417945',1899,10,1.31,81.7,70.7,59.7 
'417945',1899,11,1.7,69.9,59.3,48.6 
'417945',1899,12,3.39,62.7,51.6,40.5 
'417945',1900,1,5.42,61.5,51.3,41 
'417945',1900,2,0.34,64.1,52.3,40.4 
'417945',1900,3,4.35,70.5,59.8,49.1 
'417945',1900,4,9.11,76.8,65.8,54.8 
'417945',1900,5,4.47,82.9,72.1,61.3 
'417945',1900,6,0.78,93.1,80.8,68.4 
'417945',1900,7,2.24,90.6,80.3,70 
'417945',1900,8,4.05,91,80.7,70.4 
'417945',1900,9,0.97,91.5,80.4,69.3 
'417945',1900,10,2.94,82.7,70.6,58.5 
'417945',1900,11,1.82,72.5,60.4,48.2 
'417945',1900,12,0.7,64.3,52.1,39.8 
'417945',1901,1,0.41,64.9,54.4,43.8 
'417945',1901,2,0.71,61.7,50.6,39.5 
'417945',1901,3,0.54,75.4,60.8,46.2 
'417945',1901,4,0.59,79.1,65.8,52.4 
