"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: September 26, 2014 - Next Release Date October 30, 2014"
"Line"," ","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014"
"1","Personal income",13650.7,13776.1,13828.9,14295.1,13977.2,14131.3,14247.4,14311.7,14484.7,14707.7
"2","  Compensation of employees",8523.0,8543.8,8576.6,8782.5,8734.4,8826.3,8871.6,8946.8,9096.2,9213.7
"3","    Wages and salaries",6861.0,6877.2,6902.7,7087.4,7034.1,7110.9,7145.3,7208.5,7339.8,7442.3
"4","      Private industries",5661.9,5682.2,5706.7,5884.4,5826.8,5901.4,5939.7,5998.5,6125.3,6222.6
"5","      Government",1199.1,1195.0,1196.0,1203.0,1207.3,1209.6,1205.6,1210.0,1214.5,1219.7
"6","    Supplements to wages and salaries",1662.1,1666.6,1673.9,1695.1,1700.3,1715.4,1726.2,1738.3,1756.4,1771.4
"7","      Employer contributions for employee pension and insurance funds 1",1151.5,1156.2,1162.9,1171.5,1180.1,1190.0,1198.8,1206.8,1213.6,1222.0
"8","      Employer contributions for government social insurance",510.6,510.5,511.0,523.5,520.2,525.4,527.5,531.5,542.8,549.4
"9","  Proprietors' income with inventory valuation and capital consumption adjustments",1226.4,1256.1,1266.1,1292.3,1327.8,1330.0,1345.9,1342.7,1351.0,1381.0
"10","    Farm",71.7,72.5,71.9,73.2,92.2,83.6,86.8,70.1,58.1,73.4
"11","    Nonfarm",1154.7,1183.6,1194.2,1219.1,1235.6,1246.5,1259.2,1272.6,1292.9,1307.6
"12","  Rental income of persons with capital consumption adjustment",516.6,526.5,537.1,551.7,575.0,590.8,604.2,613.3,622.9,635.4
"13","  Personal income receipts on assets",2001.0,2045.7,2041.6,2265.9,2035.9,2081.9,2106.9,2094.2,2090.4,2127.0
"14","    Personal interest income",1250.2,1266.7,1248.9,1257.8,1245.5,1253.5,1258.5,1263.2,1262.4,1270.0
"15","    Personal dividend income",750.8,779.1,792.7,1008.1,790.4,828.4,848.4,831.0,828.0,857.0
"16","  Personal current transfer receipts",2327.9,2348.8,2354.5,2371.7,2394.8,2404.5,2426.6,2432.3,2470.9,2511.8
"17","    Government social benefits to persons",2282.1,2305.5,2312.6,2330.3,2352.9,2362.2,2384.0,2389.7,2427.8,2468.0
"18","      Social security 2",753.2,759.4,765.1,770.9,789.8,795.0,802.5,808.9,824.5,833.0
"19","      Medicare 3",547.1,551.9,557.6,564.2,571.4,567.7,573.0,577.3,582.6,586.2
"20","      Medicaid",400.9,421.3,420.5,426.3,428.2,437.4,450.0,448.7,467.6,482.5
"21","      Unemployment insurance",95.9,86.0,78.1,74.4,68.9,64.5,59.3,56.1,41.4,37.2
"22","      Veterans' benefits",67.3,69.0,71.2,72.9,75.9,78.6,80.1,81.6,83.4,83.4
"23","      Other",417.7,417.9,420.0,421.6,418.7,419.0,419.1,417.1,428.4,445.7
"24","    Other current transfer receipts, from business (net)",45.8,43.3,41.9,41.4,41.9,42.3,42.5,42.6,43.1,43.8
"25","  Less: Contributions for government social insurance, domestic",944.1,944.8,946.9,968.9,1090.7,1102.1,1107.8,1117.5,1146.6,1161.1
"26","Less: Personal current taxes",1464.7,1479.5,1505.1,1565.4,1636.8,1660.6,1661.5,1688.1,1711.8,1723.0
"27","Equals: Disposable personal income",12186.0,12296.6,12323.8,12729.7,12340.4,12470.7,12585.8,12623.7,12772.9,12984.7
"28","Less: Personal outlays",11365.0,11433.7,11523.5,11629.2,11760.6,11823.9,11933.1,12070.8,12146.9,12289.6
"29","  Personal consumption expenditures",10959.7,11030.6,11119.8,11222.6,11351.1,11414.3,11518.7,11653.3,11728.5,11870.7
"30","  Personal interest payments 4",242.4,240.0,244.0,240.0,243.5,243.4,250.8,250.8,249.8,251.3
"31","  Personal current transfer payments",163.0,163.1,159.7,166.6,166.0,166.2,163.6,166.7,168.6,167.5
"32","    To government",88.6,89.8,90.5,90.9,90.8,91.0,91.5,92.2,93.3,94.3
"33","    To the rest of the world (net)",74.3,73.3,69.2,75.8,75.2,75.3,72.2,74.5,75.4,73.3
"34","Equals: Personal saving",821.0,863.0,800.3,1100.5,579.8,646.9,652.8,552.9,626.1,695.1
"35","  Personal saving as a percentage of disposable personal income",6.7,7.0,6.5,8.6,4.7,5.2,5.2,4.4,4.9,5.4
" ","Addenda:","","","","","","","","","",""
"36","  Personal income excluding current transfer receipts, billions of chained (2009) dollars 5",10731.7,10795.0,10804.4,11177.5,10829.8,10952.3,10994.3,11021.2,11108.2,11211.5
" ","  Disposable personal income:","","","","","","","","","",""
"37","    Total, billions of chained (2009) dollars 5",11549.8,11616.2,11604.1,11933.4,11538.6,11647.0,11705.9,11711.7,11810.1,11936.7
" ","    Per capita:","","","","","","","","","",""
"38","      Current dollars",38882,39171,39181,40396,39099,39447,39734,39779,40186,40786
"39","      Chained (2009) dollars",36853,37004,36893,37869,36558,36841,36956,36905,37157,37494
"40","  Population (midperiod, thousands)",313407,313920,314532,315125,315620,316140,316754,317347,317842,318362
" ","  Percent change from preceding period:","","","","","","","","","",""
"41","    Disposable personal income, current dollars",9.1,3.7,0.9,13.8,-11.7,4.3,3.7,1.2,4.8,6.8
"42","    Disposable personal income, chained (2009) dollars",6.8,2.3,-0.4,11.8,-12.6,3.8,2.0,0.2,3.4,4.4
"Legend / Footnotes:"
"1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
"3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund."
"4. Consists of nonmortgage interest paid by households."
"5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures."
